datetime,close,high,low,open,volume,volume_buy,volume_sell
2019-09-08 07:00:00,10391.63,10412.65,10000.0,10000.0,3096.291,0.039,3096.252
2019-09-09 07:00:00,10307.0,10475.54,10077.22,10316.62,14824.373,5452.451,9371.921999999999
2019-09-10 07:00:00,10102.02,10382.97,9940.87,10307.0,9068.955,6395.462,2673.4929999999995
2019-09-11 07:00:00,10159.55,10293.11,9884.31,10094.27,10897.922,7724.442,3173.4800000000005
2019-09-12 07:00:00,10415.13,10450.13,10042.12,10163.06,15609.634,10117.798,5491.835999999999
2019-09-13 07:00:00,10341.34,10440.55,10153.51,10414.96,19252.721,9717.128,9535.593
2019-09-14 07:00:00,10332.25,10419.97,10222.77,10343.01,20656.624,9522.547,11134.077
2019-09-15 07:00:00,10302.22,10359.2,10024.81,10333.47,20536.255,7430.161,13106.094000000001
2019-09-16 07:00:00,10249.27,10353.81,10080.7,10302.0,20185.637,6954.582,13231.054999999998
2019-09-17 07:00:00,10186.52,10270.63,10136.77,10257.3,22519.607,12669.109,9850.498
2019-09-18 07:00:00,10155.16,10256.65,10097.92,10183.87,20832.895,13464.203,7368.692000000001
2019-09-19 07:00:00,10245.3,10331.62,9530.02,10154.7,26228.754,10213.792,16014.962000000001
2019-09-20 07:00:00,10166.35,10279.3,10070.5,10247.7,23265.91,9517.128,13748.782
2019-09-21 07:00:00,9983.33,10175.3,9912.63,10166.56,23642.387,8219.618,15422.768999999998
2019-09-22 07:00:00,10023.04,10089.52,9857.0,9992.7,23916.354,10466.395,13449.958999999999
2019-09-23 07:00:00,9701.96,10046.91,9620.0,10027.69,31927.062,14924.551,17002.511000000002
2019-09-24 07:00:00,8645.61,9792.83,8645.61,9701.1,29758.535,14817.318,14941.217
2019-09-25 07:00:00,8430.07,8725.24,8200.0,8493.32,48222.102,24972.13,23249.971999999998
2019-09-26 07:00:00,8060.15,8464.4,7700.67,8428.15,60065.945,29931.388,30134.557
2019-09-27 07:00:00,8176.52,8260.0,7851.94,8061.98,40034.653,20960.862,19073.790999999997
2019-09-28 07:00:00,8195.38,8311.0,8001.14,8178.26,33820.919,16862.162,16958.757
2019-09-29 07:00:00,8041.96,8226.35,7888.98,8199.0,35966.056,20057.619,15908.436999999998
2019-09-30 07:00:00,8285.84,8331.89,7709.01,8042.08,54412.52,27935.359,26477.160999999996
2019-10-01 07:00:00,8290.0,8499.0,8171.0,8285.31,39212.804,19547.744,19665.059999999998
2019-10-02 07:00:00,8352.14,8365.92,8149.35,8290.0,30329.179,13840.6,16488.578999999998
2019-10-03 07:00:00,8220.27,8386.0,8020.0,8353.4,33430.23,15177.823,18252.407000000003
2019-10-04 07:00:00,8130.56,8227.42,7979.95,8219.95,28421.111,12437.976,15983.135
2019-10-05 07:00:00,8122.14,8175.0,8010.0,8130.0,30262.006,12199.701,18062.305
2019-10-06 07:00:00,7852.79,8148.43,7760.0,8122.01,41909.039,19790.528,22118.511
2019-10-07 07:00:00,8186.88,8330.0,7764.42,7851.01,62760.299,30547.437,32212.861999999997
2019-10-08 07:00:00,8167.62,8322.01,8103.88,8188.55,44715.165,20732.257,23982.908
