datetime,close,high,low,open,volume,volume_buy,volume_sell
2019-11-27 07:00:00,152.52,155.66,125.03,146.0,115911.84,53283.61,62628.229999999996
2019-11-28 07:00:00,150.48,156.52,146.41,154.29,116824.07,26295.144,90528.926
2019-11-29 07:00:00,154.41,157.4,150.55,150.56,167906.104,69723.6,98182.50399999999
2019-11-30 07:00:00,151.38,155.15,149.66,154.4,370491.615,135195.907,235295.70799999998
2019-12-01 07:00:00,150.65,152.5,145.5,151.38,394494.119,143318.592,251175.527
2019-12-02 07:00:00,148.59,151.3,146.67,150.72,395630.91,145520.355,250110.55499999996
2019-12-03 07:00:00,147.1,149.8,145.62,148.59,495996.573,226933.611,269062.96199999994
2019-12-04 07:00:00,145.35,152.22,142.96,147.12,684404.817,335154.56,349250.25700000004
2019-12-05 07:00:00,148.04,148.88,143.77,145.36,441113.912,220098.933,221014.97900000002
2019-12-06 07:00:00,148.41,149.5,145.66,148.08,334645.217,168062.635,166582.582
2019-12-07 07:00:00,147.1,149.42,146.77,148.41,239185.31,118600.823,120584.487
2019-12-08 07:00:00,150.41,156.25,146.01,147.08,260610.87,135162.005,125448.86499999999
2019-12-09 07:00:00,147.37,151.15,146.55,150.41,296475.449,142571.841,153903.60800000004
2019-12-10 07:00:00,145.55,148.39,143.78,147.36,253852.598,120351.72,133500.878
2019-12-11 07:00:00,142.76,142.87,142.74,142.83,158.649,18.538,140.111
2019-12-12 07:00:00,144.8,145.8,139.05,143.36,372077.814,184261.465,187816.34900000002
2019-12-13 07:00:00,144.7,145.2,143.0,144.8,183068.201,87282.902,95785.299
2019-12-14 07:00:00,141.77,144.97,141.05,144.71,187036.667,83508.19,103528.47699999998
2019-12-15 07:00:00,142.39,144.0,139.89,141.77,230729.834,111485.621,119244.213
2019-12-16 07:00:00,132.59,142.63,128.59,142.46,553596.159,258497.378,295098.78099999996
2019-12-17 07:00:00,121.87,132.84,119.1,132.6,613475.54,296764.742,316710.798
2019-12-18 07:00:00,132.74,134.75,115.95,121.9,1013697.094,520545.004,493152.09
2019-12-19 07:00:00,128.03,133.79,125.66,132.78,637508.534,319406.269,318102.265
2019-12-20 07:00:00,128.13,129.33,125.73,128.03,346553.796,164191.976,182361.81999999998
2019-12-21 07:00:00,126.99,128.52,126.5,128.13,208331.595,100017.444,108314.151
2019-12-22 07:00:00,132.14,133.33,126.78,126.99,443907.086,225493.471,218413.61500000002
2019-12-23 07:00:00,127.73,135.09,126.01,132.18,698722.014,339876.665,358845.349
2019-12-24 07:00:00,127.76,129.67,126.45,127.75,497534.945,246675.93,250859.015
2019-12-25 07:00:00,125.06,127.83,123.0,127.72,455279.225,219399.642,235879.58299999998
2019-12-26 07:00:00,125.53,132.44,124.33,125.06,583380.778,293938.449,289442.329
2019-12-27 07:00:00,126.21,127.06,122.0,125.53,567887.536,276495.098,291392.43799999997
2019-12-28 07:00:00,128.04,129.62,125.77,126.24,468730.855,234745.198,233985.65699999998
2019-12-29 07:00:00,134.28,138.25,127.5,128.02,771614.663,401061.702,370552.96099999995
2019-12-30 07:00:00,131.52,136.21,130.19,134.22,692165.824,334289.973,357875.851
2019-12-31 07:00:00,129.12,133.64,128.15,131.53,647743.359,313555.875,334187.48400000005
2020-01-01 07:00:00,130.62,132.96,128.62,129.12,466063.929,232492.871,233571.058
2020-01-02 07:00:00,127.11,130.75,126.25,130.63,523582.924,253840.635,269742.289
2020-01-03 07:00:00,134.29,135.07,125.78,127.11,951123.597,486159.153,464964.44399999996
2020-01-04 07:00:00,134.14,135.8,132.41,134.31,509778.108,257304.84,252473.268
2020-01-05 07:00:00,135.33,138.17,134.12,134.14,669677.687,332189.944,337487.743
2020-01-06 07:00:00,144.04,144.38,134.82,135.32,1095147.166,565039.363,530107.803
2020-01-07 07:00:00,142.86,145.25,138.7,144.11,963331.505,481985.847,481345.658
2020-01-08 07:00:00,140.75,147.94,137.15,142.86,1208133.766,593769.495,614364.2710000001
2020-01-09 07:00:00,137.73,141.52,135.33,140.76,956864.213,460011.726,496852.48699999996
2020-01-10 07:00:00,144.8,145.15,135.22,137.73,908378.249,451491.742,456886.5069999999
2020-01-11 07:00:00,142.4,148.03,142.0,144.8,832163.204,400748.783,431414.42100000003
2020-01-12 07:00:00,146.57,146.6,141.71,142.4,630256.911,329084.039,301172.872
2020-01-13 07:00:00,143.58,147.0,142.32,146.57,558655.672,279441.457,279214.215
2020-01-14 07:00:00,165.77,171.0,143.49,143.57,2169559.414,1093708.213,1075851.201
2020-01-15 07:00:00,166.6,172.18,159.35,165.75,1391999.279,659342.288,732656.9910000002
2020-01-16 07:00:00,164.37,167.63,158.43,166.61,784199.474,371086.603,413112.87100000004
2020-01-17 07:00:00,170.06,174.79,162.27,164.39,946707.348,457329.539,489377.809
2020-01-18 07:00:00,174.43,179.57,165.08,170.06,819444.357,390507.838,428936.519
2020-01-19 07:00:00,167.04,178.42,161.81,174.37,742371.819,340703.545,401668.27400000003
2020-01-20 07:00:00,167.03,169.48,161.5,167.04,390055.869,177886.786,212169.083
